id,group
10037001,Bottom 50%
12462083,Bottom 50%
11344339,Bottom 50%
11350151,Bottom 50%
11251537,Bottom 50%
12888767,Bottom 50%
9552364,Bottom 50%
11883729,Bottom 50%
11964577,Bottom 50%
10433980,Bottom 50%
12031346,Bottom 50%
11492170,Bottom 50%
9812960,Bottom 50%
11871971,Bottom 50%
10955310,Bottom 50%
10940124,Bottom 50%
9565475,Bottom 50%
10709633,Bottom 50%
9648108,Bottom 50%
10622281,Bottom 50%
9433990,Bottom 50%
10002465,Bottom 50%
11741797,Bottom 50%
9760984,Bottom 50%
9278473,Bottom 50%
10427148,Bottom 50%
9921082,Bottom 50%
9725052,Bottom 50%
12924094,Bottom 50%
10649172,Bottom 50%
9697195,Bottom 50%
10549186,Bottom 50%
11505829,Bottom 50%
10836976,Bottom 50%
9339210,Bottom 50%
9271985,Bottom 50%
9275520,Bottom 50%
9869478,Bottom 50%
11083687,Bottom 50%
11718769,Bottom 50%
9585189,Bottom 50%
9190700,Bottom 50%
10031416,Bottom 50%
12799802,Bottom 50%
11482004,Bottom 50%
12140631,Bottom 50%
12062188,Bottom 50%
9523752,Bottom 50%
9550760,Bottom 50%
10883927,Bottom 50%
11482490,50-90%
9384630,50-90%
11208875,50-90%
11807962,50-90%
9387791,50-90%
10389671,50-90%
10604339,50-90%
11068892,50-90%
9343769,50-90%
10886809,50-90%
11666337,50-90%
12847013,50-90%
10721427,50-90%
9300745,50-90%
9303783,50-90%
9993124,50-90%
12888647,50-90%
9656686,50-90%
11236625,50-90%
12074424,50-90%
9618896,50-90%
11783801,50-90%
11695089,50-90%
10465740,50-90%
11220587,50-90%
11218620,50-90%
11595097,50-90%
10457453,50-90%
9382134,50-90%
12825738,50-90%
10868081,50-90%
9454523,50-90%
10568114,50-90%
9984723,50-90%
11624699,50-90%
11096183,50-90%
9992067,50-90%
9543586,50-90%
11503053,50-90%
9286454,50-90%
11155173,50-90%
12870272,50-90%
9808467,50-90%
11941975,50-90%
11726430,50-90%
10094303,50-90%
12678817,50-90%
12678300,50-90%
12052403,50-90%
12845218,50-90%
11705551,90-99%
9342216,90-99%
9537566,90-99%
11260628,90-99%
9885653,90-99%
11952996,90-99%
9856379,90-99%
10495461,90-99%
10427148,90-99%
12772950,90-99%
9753569,90-99%
9593730,90-99%
10308168,90-99%
10907342,90-99%
10352373,90-99%
11635910,90-99%
11489402,90-99%
11428916,90-99%
9395763,90-99%
11624946,90-99%
11768260,90-99%
12147163,90-99%
10731432,90-99%
12864798,90-99%
11129218,90-99%
11165596,90-99%
10381858,90-99%
12813330,90-99%
11127957,90-99%
11241229,90-99%
10193500,90-99%
11773526,90-99%
11010458,90-99%
12029101,90-99%
11042048,90-99%
11492534,90-99%
9839709,90-99%
11218799,90-99%
10733028,90-99%
9751749,90-99%
9357488,90-99%
10625974,90-99%
9566882,90-99%
9306901,90-99%
12119886,90-99%
9697469,90-99%
12820402,90-99%
9944906,90-99%
10336063,90-99%
11110445,90-99%
10097747,99%+
11776150,99%+
11723207,99%+
9314716,99%+
11586290,99%+
11073967,99%+
11024868,99%+
9537503,99%+
9789151,99%+
12085564,99%+
11153902,99%+
10374728,99%+
9777492,99%+
12043232,99%+
12847798,99%+
10069706,99%+
10195340,99%+
11062838,99%+
10885489,99%+
12876363,99%+
10388066,99%+
12009300,99%+
11260197,99%+
9587091,99%+
9688520,99%+
9755191,99%+
10692525,99%+
9561208,99%+
11575440,99%+
10779069,99%+
9778535,99%+
12204989,99%+
10960908,99%+
12787594,99%+
11154547,99%+
9937068,99%+
10150682,99%+
11480010,99%+
9209475,99%+
9761026,99%+
11435538,99%+
9764154,99%+
9699628,99%+
11885149,99%+
10141813,99%+
10935138,99%+
11428454,99%+
10399215,99%+
10498800,99%+
12341568,99%+
